SMILES,predicted_proxy,novelty,MW
N#Cc1cc(O)cc(OP(=O)(O)O)c1,0.2629,0.7297,215.10
O=C(O)c1nc(-c2ccccc2)nc(S(=O)(=O)O)n1,0.2629,0.6667,281.25
O=C(O)c1cc(P(=O)(O)O)cc(P(=O)(O)O)c1,0.2628,0.5600,282.08
CCOP(=O)(OCC)c1ccncc1,0.2624,0.3571,215.19
O=C(O)c1nc(OP(=O)(O)O)nc(OP(=O)(O)O)n1,0.2623,0.7273,317.04
O=C(O)c1cc(P(=O)(O)O)cc(S(=O)(=O)O)c1,0.2623,0.6562,282.17
CCOP(=O)(OCC)c1cc(-c2ccccc2)cc(P(=O)(OCC)OCC)c1,0.2614,0.3333,426.39
O=C(O)c1nc(P(=O)(O)O)nc(P(=O)(O)O)n1,0.2614,0.7143,285.05
O=C(O)c1nc(OP(=O)(O)O)nc(P(=O)(O)O)n1,0.2612,0.7568,301.04
Cc1nc(N)nc(OP(=O)(O)O)n1,0.2609,0.7407,206.10
N#Cc1cc(N)cc(OP(=O)(O)O)c1,0.2604,0.7368,214.12
N#Cc1ccc(OP(=O)(O)O)cc1,0.2604,0.6129,199.10
O=C(O)c1nc(P(=O)(O)O)nc(S(=O)(=O)O)n1,0.2597,0.7778,285.13
Cc1nc(N)nc(-c2ccccc2)n1,0.2596,0.6552,186.22
O=C(O)c1nc(OP(=O)(O)O)nc(S(=O)(=O)O)n1,0.2595,0.7805,301.13
Cc1cc(P(=O)(O)O)cc(S(=O)(=O)O)c1,0.2593,0.6875,252.18
Cc1nc(O)nc(-c2ccccc2)n1,0.2587,0.6800,187.20
N#Cc1ccc(Oc2ccccc2)cc1,0.2581,0.4286,195.22
CCOP(=O)(OCC)c1nc(-c2ccccc2)nc(P(=O)(OCC)OCC)n1,0.2572,0.4706,429.35
Cc1cc(O)cc(P(=O)(O)O)c1,0.2569,0.6429,188.12
N#Cc1cc(N)cc(-c2ccccc2)c1,0.2568,0.5714,194.24
Cc1cc(OP(=O)(O)O)cc(OP(=O)(O)O)c1,0.2566,0.6667,284.10
CCOP(=O)(OCC)c1cc(C(=O)O)cc(-c2ccccc2)c1,0.2563,0.4595,334.31
N#Cc1cc(O)cc(-c2ccccc2)c1,0.2563,0.6400,195.22
Cc1cc(-c2ccccc2)cc(-c2ccccc2)c1,0.2556,0.4706,244.34
Cc1ccccc1OP(=O)(O)O,0.2551,0.6000,188.12
N#Cc1ccc(-c2ccccc2)cc1,0.2545,0.5000,179.22
N#Cc1nc(C#N)nc(P(=O)(O)O)n1,0.2544,0.7667,211.08
O=C(O)c1nc(O)nc(P(=O)(O)O)n1,0.2539,0.7500,221.07
O=S(=O)(O)c1ccccc1O,0.2526,0.6667,174.18
